"","Team","Pos","Player","G","PTS","TRB","AST","STL","BLK","MFG","MFT","TOV"
"330","TOT","SF-SG","Rodney Hood",52,3.1,1.5,0.7,0.3,0.1,1.9,0.1,0.2
"331","MIL","SF","Rodney Hood",39,3.3,1.7,0.8,0.3,0.1,2.2,0.1,0.2
"332","LAC","SG","Rodney Hood",13,2.6,0.8,0.6,0.2,0.2,1.1,0.1,0.3
"333","OKC","SG","Scotty Hopson",1,4,1,1,0,0,2,0,2
"334","BOS","C","Al Horford",69,10.2,7.7,3.4,0.7,1.3,4.3,0.2,0.9
"335","LAL","SG","Talen Horton-Tucker",60,10,3.2,2.7,1,0.5,5.3,0.4,1.4
"336","TOT","SF","Danuel House Jr.",42,5.9,2.6,1,0.5,0.4,2.8,0.4,0.8
"337","HOU","SF","Danuel House Jr.",16,4.8,2.7,1.2,0.3,0.3,3,0.0999999999999999,1.1
"338","NYK","SF","Danuel House Jr.",1,0,0,0,0,0,1,0,0
"339","UTA","SF","Danuel House Jr.",25,6.8,2.7,1,0.6,0.5,2.7,0.5,0.6
"340","LAL","C","Dwight Howard",60,6.2,5.9,0.6,0.6,0.6,1.5,0.8,0.8
"341","DEN","SG","Markus Howard",31,4.1,0.4,0.2,0.3,0,2,0.1,0.2
"342","ATL","SG","Kevin Huerter",74,12.1,3.4,2.7,0.7,0.4,5.6,0.1,1.2
"343","LAL","C","Jay Huff",4,0,1,0.3,0.3,0.3,0.8,0,0.3
"344","TOT","SG-SF","Elijah Hughes",36,3.5,1.6,0.6,0.4,0.2,2.7,0.1,0.5
"345","UTA","SF","Elijah Hughes",14,3.1,1.2,0.4,0.3,0.1,1.5,0,0.5
"346","POR","SG","Elijah Hughes",22,3.8,1.9,0.7,0.5,0.3,3.4,0.1,0.5
"347","NYK","SF","Feron Hunt",2,0,0.5,0.5,0.5,0,1,0,0.5
"348","ATL","SF","De'Andre Hunter",53,13.4,3.3,1.3,0.7,0.4,6,0.7,1.3
"349","PHO","SF","Chandler Hutchison",6,0.7,0.8,0.3,0,0,0.1,0,0.7
